lon,lat,alt,hdg,ias,roll,pitch,slip
86.7291032962,27.6880423792,9250,228,0,0.275243,1.538629,0.000000
86.7291032884,27.6880423756,9250,228,1,0.269606,1.592048,41.573250
86.7291032825,27.6880423668,9250,228,1,0.253607,1.544305,40.752769
86.7291032752,27.6880423712,9250,228,1,0.289644,1.534942,39.498547
86.7291032742,27.6880423725,9250,228,1,0.297122,1.535692,39.115532
86.7291032736,27.6880423736,9250,228,1,0.302634,1.537434,38.606312
86.7291032738,27.6880423739,9250,228,1,0.303643,1.538848,38.262409
86.7291032741,27.6880423740,9250,228,1,0.303028,1.540081,37.975883
86.7291032763,27.6880423731,9250,228,1,0.293912,1.544261,36.961452
86.7291032772,27.6880423726,9250,228,1,0.289479,1.545607,36.575878
86.7291032776,27.6880423724,9250,228,1,0.287723,1.546122,36.411674
86.7291032785,27.6880423719,9250,228,1,0.283477,1.547442,35.920292
86.7291032789,27.6880423717,9250,228,1,0.281535,1.548249,35.549587
86.7291032791,27.6880423735,9250,228,1,0.287180,1.554151,28.122152
86.7291032789,27.6880423736,9250,228,1,0.288001,1.554090,26.674425
86.7291032788,27.6880423737,9250,228,1,0.288451,1.554100,26.179289
86.7291032788,27.6880423737,9250,228,1,0.288814,1.554117,25.750196
86.7291032787,27.6880423738,9250,228,1,0.289166,1.554147,25.244305
86.7291032787,27.6880423738,9250,228,1,0.289513,1.554221,24.364916
86.7291032787,27.6880423739,9250,228,1,0.289556,1.554258,23.994320
86.7291032787,27.6880423739,9250,228,1,0.289548,1.554299,23.621374
86.7291032787,27.6880423739,9250,228,1,0.289510,1.554333,23.321402
86.7291032787,27.6880423738,9250,228,1,0.289394,1.554395,22.793036
86.7291032788,27.6880423738,9250,228,1,0.289199,1.554474,22.107443
86.7291032788,27.6880423738,9250,228,1,0.289133,1.554501,21.877331
86.7291032788,27.6880423738,9250,228,1,0.289051,1.554535,21.569288
86.7291032789,27.6880423738,9250,228,1,0.288947,1.554584,21.104525
86.7291032789,27.6880423738,9250,228,1,0.288847,1.554700,19.928116
86.7291032789,27.6880423738,9250,228,1,0.288859,1.554728,19.610765
86.7291032789,27.6880423738,9250,228,1,0.288955,1.554791,18.810789
86.7291032789,27.6880423739,9250,228,1,0.289049,1.554825,18.326258
86.7291032789,27.6880423739,9250,228,1,0.289274,1.554886,17.429129
86.7291032788,27.6880423739,9250,228,1,0.289405,1.554918,16.934944
86.7291032788,27.6880423740,9250,228,1,0.289555,1.554954,16.354311
86.7291032788,27.6880423740,9250,228,1,0.289653,1.554979,15.936841
86.7291032788,27.6880423740,9250,228,1,0.289724,1.554999,15.601326
86.7291032788,27.6880423740,9250,228,1,0.290015,1.555103,13.818519
86.7291032788,27.6880423741,9250,228,1,0.290055,1.555125,13.388774
86.7291032788,27.6880423741,9250,228,1,0.290094,1.555153,12.784096
86.7291032788,27.6880423741,9250,228,1,0.290108,1.555163,12.523864
86.7291032788,27.6880423741,9250,228,1,0.290130,1.555182,12.001536
86.7291032788,27.6880423741,9250,228,1,0.290149,1.555197,11.564330
86.7291032788,27.6880423741,9250,228,1,0.290193,1.555224,10.684944
86.7291032788,27.6880423741,9250,228,1,0.290210,1.555231,10.419809
86.7291032788,27.6880423741,9250,228,1,0.290258,1.555245,9.798972
86.7291032788,27.6880423741,9250,228,1,0.290326,1.555258,9.085565
86.7291032787,27.6880423741,9250,228,1,0.290452,1.555274,8.008273
86.7291032787,27.6880423741,9250,228,1,0.290498,1.555278,7.647295
86.7291032787,27.6880423742,9250,228,1,0.290578,1.555282,7.013476
86.7291032787,27.6880423742,9250,228,1,0.290659,1.555284,6.377111
86.7291032787,27.6880423742,9250,228,1,0.290704,1.555284,6.012397
86.7291032787,27.6880423742,9250,228,1,0.290791,1.555281,5.280709
86.7291032786,27.6880423742,9250,228,1,0.290979,1.555262,3.624759
86.7291032786,27.6880423742,9250,228,1,0.291033,1.555253,3.070049
86.7291032786,27.6880423742,9250,228,1,0.291073,1.555244,2.606911
86.7291032786,27.6880423742,9250,228,1,0.291096,1.555238,2.328667
86.7291032786,27.6880423742,9250,228,1,0.291160,1.555218,1.492572
86.7291032786,27.6880423742,9250,228,1,0.291188,1.555208,1.120341
86.7291032786,27.6880423743,9250,228,1,0.291215,1.555197,0.747757
86.7291032786,27.6880423743,9250,228,1,0.291336,1.555155,-0.651722
86.7291032786,27.6880423743,9250,228,1,0.291406,1.555132,-1.399591
86.7291032785,27.6880423743,9250,228,1,0.291449,1.555119,-1.867315
86.7291032785,27.6880423743,9250,228,1,0.291499,1.555106,-2.428798
86.7291032785,27.6880423743,9250,228,1,0.291516,1.555103,-2.616001
86.7291032785,27.6880423743,9250,228,1,0.291598,1.555091,-3.551992
86.7291032784,27.6880423745,9250,228,1,0.292481,1.555225,-10.992510
86.7291032784,27.6880423744,9250,228,1,0.292388,1.555238,-13.271280
86.7291032784,27.6880423745,9250,228,1,0.292455,1.555236,-13.994298
86.7291032783,27.6880423745,9250,228,1,0.293035,1.555196,-16.674070
86.7291032783,27.6880423746,9250,228,1,0.293146,1.555184,-17.292004
86.7291032783,27.6880423746,9250,228,1,0.293216,1.555175,-17.818983
86.7291032783,27.6880423746,9250,228,1,0.293258,1.555167,-18.256109
86.7291032783,27.6880423746,9250,228,1,0.293297,1.555154,-18.864893
86.7291032783,27.6880423746,9250,228,1,0.293313,1.555145,-19.211054
86.7291032782,27.6880423746,9250,228,1,0.293338,1.555124,-19.899595
86.7291032782,27.6880423746,9250,228,1,0.293360,1.555104,-20.497910
86.7291032782,27.6880423746,9250,228,1,0.293373,1.555092,-20.838066
86.7291032782,27.6880423746,9250,228,1,0.293398,1.555071,-21.430271
86.7291032782,27.6880423746,9250,228,1,0.293418,1.555053,-21.934645
86.7291032782,27.6880423746,9250,228,1,0.293439,1.555035,-22.436045
86.7291032782,27.6880423746,9250,228,1,0.293460,1.555019,-22.934372
86.7291032782,27.6880423746,9250,228,1,0.293477,1.555007,-23.347275
86.7291032782,27.6880423746,9250,228,1,0.293490,1.554998,-23.676031
86.7291032782,27.6880423746,9250,228,1,0.293516,1.554981,-24.329266
86.7291032782,27.6880423746,9250,228,1,0.293541,1.554966,-24.976742
86.7291032782,27.6880423746,9250,228,1,0.293554,1.554960,-25.298307
86.7291032782,27.6880423746,9250,228,1,0.293563,1.554955,-25.538519
86.7291032782,27.6880423746,9250,228,1,0.293596,1.554941,-26.333170
86.7291032782,27.6880423746,9250,228,1,0.293616,1.554934,-26.805487
86.7291032782,27.6880423746,9250,228,1,0.293639,1.554927,-27.352190
86.7291032782,27.6880423746,9250,228,1,0.293657,1.554921,-27.739840
86.7291032782,27.6880423746,9250,228,1,0.293683,1.554914,-28.278515
86.7291032782,27.6880423746,9250,228,1,0.293699,1.554909,-28.584200
86.7291032781,27.6880423746,9250,228,1,0.293711,1.554906,-28.812471
86.7291032781,27.6880423746,9250,228,1,0.293749,1.554896,-29.491989
86.7291032781,27.6880423746,9250,228,1,0.293767,1.554891,-29.791464
86.7291032781,27.6880423746,9250,228,1,0.293807,1.554880,-30.459549
86.7291032781,27.6880423746,9250,228,1,0.293829,1.554874,-30.827280
86.7291032781,27.6880423746,9250,228,1,0.293860,1.554866,-31.337942
86.7291032781,27.6880423746,9250,228,1,0.293892,1.554857,-31.843739
86.7291032781,27.6880423746,9250,228,1,0.293910,1.554852,-32.130585
86.7291032781,27.6880423746,9250,228,1,0.293938,1.554843,-32.557896
86.7291032781,27.6880423746,9250,228,1,0.293957,1.554837,-32.840775
86.7291032781,27.6880423746,9250,228,1,0.294004,1.554822,-33.541023
86.7291032781,27.6880423746,9250,228,1,0.294023,1.554816,-33.818348
86.7291032781,27.6880423746,9250,228,1,0.294052,1.554807,-34.231339
86.7291032781,27.6880423746,9250,228,1,0.294086,1.554795,-34.708675
86.7291032781,27.6880423746,9250,228,1,0.294120,1.554783,-35.181152
86.7291032781,27.6880423747,9250,228,1,0.294140,1.554776,-35.448956
86.7291032780,27.6880423747,9250,228,1,0.294175,1.554764,-35.913822
86.7291032780,27.6880423747,9250,228,1,0.294207,1.554753,-36.308426
86.7291032780,27.6880423747,9250,228,1,0.294234,1.554743,-36.634575
86.7291032780,27.6880423747,9250,228,1,0.294272,1.554729,-37.087082
86.7291032780,27.6880423747,9250,228,1,0.294313,1.554714,-37.534801
86.7291032780,27.6880423747,9250,228,1,0.294330,1.554708,-37.725235
86.7291032780,27.6880423747,9250,228,1,0.294377,1.554689,-38.228786
86.7291032780,27.6880423747,9250,228,1,0.294412,1.554674,-38.602417
86.7291032780,27.6880423747,9250,228,1,0.294453,1.554655,-39.029770
86.7291032780,27.6880423747,9250,228,1,0.294471,1.554646,-39.188595
86.7291032780,27.6880423747,9250,228,1,0.294515,1.554626,-39.612865
86.7291032780,27.6880423747,9250,228,1,0.294545,1.554609,-39.984936
86.7291032780,27.6880423747,9250,228,1,0.294560,1.554598,-40.251137
86.7291032780,27.6880423747,9250,228,1,0.294569,1.554586,-40.571026
86.7291032780,27.6880423747,9250,228,1,0.294569,1.554574,-40.891365
86.7291032780,27.6880423747,9250,228,1,0.294561,1.554562,-41.265610
86.7291032780,27.6880423747,9250,228,1,0.294550,1.554553,-41.533253
86.7291032780,27.6880423747,9250,228,1,0.294535,1.554541,-41.854763
86.7291032780,27.6880423747,9250,228,1,0.294519,1.554528,-42.176628
86.7291032780,27.6880423747,9250,228,1,0.294509,1.554519,-42.391399
86.7291032780,27.6880423747,9250,228,1,0.294494,1.554500,-42.767609
86.7291032780,27.6880423747,9250,228,1,0.294485,1.554483,-43.090416
86.7291032779,27.6880423747,9250,228,1,0.294480,1.554460,-43.467422
86.7291032779,27.6880423747,9250,228,1,0.294482,1.554436,-43.844837
86.7291032779,27.6880423747,9250,228,1,0.294488,1.554414,-44.168636
86.7291032779,27.6880423747,9250,228,1,0.294495,1.554395,-44.438663
86.7291032779,27.6880423747,9250,228,1,0.294506,1.554371,-44.762932
86.7291032779,27.6880423746,9250,228,1,0.294521,1.554341,-45.141525
86.7291032779,27.6880423746,9250,228,1,0.294528,1.554327,-45.303864
86.7291032779,27.6880423746,9250,228,1,0.294544,1.554291,-45.737007
86.7291032779,27.6880423746,9250,228,1,0.294555,1.554263,-46.062042
86.7291032779,27.6880423746,9250,228,1,0.294566,1.554229,-46.441429
86.7291032779,27.6880423746,9250,228,1,0.294569,1.554215,-46.604069
86.7291032779,27.6880423746,9250,228,1,0.294576,1.554176,-47.037861
86.7291032779,27.6880423746,9250,228,1,0.294579,1.554151,-47.309044
86.7291032779,27.6880423746,9250,228,1,0.294582,1.554110,-47.742981
86.7291032779,27.6880423746,9250,228,1,0.294583,1.554080,-48.068455
86.7291032779,27.6880423746,9250,228,1,0.294584,1.554064,-48.231197
86.7291032779,27.6880423746,9250,228,1,0.294586,1.554028,-48.610901
86.7291032778,27.6880423746,9250,228,1,0.294588,1.553986,-49.044769
86.7291032778,27.6880423746,9250,228,1,0.294590,1.553960,-49.315880
86.7291032778,27.6880423746,9250,228,1,0.294594,1.553923,-49.695324
86.7291032778,27.6880423746,9250,228,1,0.294599,1.553890,-50.020443
86.7291032778,27.6880423746,9250,228,1,0.294603,1.553874,-50.182949
86.7291032778,27.6880423746,9250,228,1,0.294612,1.553835,-50.562008
86.7291032778,27.6880423746,9250,228,1,0.294621,1.553800,-50.886742
86.7291032778,27.6880423746,9250,228,1,0.294633,1.553760,-51.265381
86.7291032778,27.6880423746,9250,228,1,0.294643,1.553724,-51.589710
86.7291032778,27.6880423746,9250,228,1,0.294654,1.553683,-51.967800
86.7291032778,27.6880423746,9250,228,1,0.294660,1.553665,-52.129726
86.7291032778,27.6880423746,9250,228,1,0.294672,1.553622,-52.507320
86.7291032778,27.6880423746,9250,228,1,0.294682,1.553584,-52.830658
86.7291032778,27.6880423746,9250,228,1,0.294693,1.553540,-53.207512
86.7291032777,27.6880423746,9250,228,1,0.294703,1.553495,-53.583908
86.7291032777,27.6880423746,9250,228,1,0.294711,1.553456,-53.906147
86.7291032777,27.6880423746,9250,228,1,0.294715,1.553436,-54.067127
86.7291032777,27.6880423745,9250,228,1,0.294725,1.553390,-54.442352
86.7291032777,27.6880423745,9250,228,1,0.294736,1.553342,-54.817020
86.7291032777,27.6880423745,9250,228,1,0.294746,1.553300,-55.137707
86.7291032777,27.6880423745,9250,228,1,0.294759,1.553250,-55.511276
86.7291032777,27.6880423745,9250,228,1,0.294767,1.553221,-55.724461
86.7291032777,27.6880423745,9250,228,1,0.294778,1.553177,-56.043842
86.7291032777,27.6880423745,9250,228,1,0.294792,1.553125,-56.415802
86.7291032776,27.6880423745,9250,228,1,0.294806,1.553072,-56.787052
86.7291032776,27.6880423745,9250,228,1,0.294812,1.553049,-56.945930
86.7291032776,27.6880423745,9250,228,1,0.294827,1.552994,-57.316109
86.7291032776,27.6880423745,9250,228,1,0.294843,1.552938,-57.685509
86.7291032776,27.6880423745,9250,228,1,0.294856,1.552890,-58.001499
86.7291032776,27.6880423745,9250,228,1,0.294871,1.552832,-58.369377
86.7291032776,27.6880423745,9250,228,1,0.294880,1.552799,-58.579201
86.7291032776,27.6880423745,9250,228,1,0.294894,1.552741,-58.945721
86.7291032776,27.6880423745,9250,228,1,0.294906,1.552690,-59.259148
86.7291032776,27.6880423745,9250,228,1,0.294916,1.552647,-59.519810
86.7291032775,27.6880423745,9250,228,1,0.294927,1.552604,-59.780003
86.7291032775,27.6880423745,9250,228,1,0.294942,1.552542,-60.143387
86.7291032775,27.6880423745,9250,228,1,0.294954,1.552496,-60.402363
86.7291032775,27.6880423744,9250,228,1,0.294973,1.552421,-60.815662
86.7291032775,27.6880423744,9250,228,1,0.294988,1.552364,-61.124756
86.7291032775,27.6880423744,9250,228,1,0.295006,1.552297,-61.484371
86.7291032775,27.6880423744,9250,228,1,0.295016,1.552258,-61.689381
86.7291032775,27.6880423744,9250,228,1,0.295035,1.552178,-62.098320
86.7291032774,27.6880423744,9250,228,1,0.295047,1.552127,-62.353172
86.7291032774,27.6880423744,9250,228,1,0.295057,1.552085,-62.556633
86.7291032774,27.6880423744,9250,228,1,0.295072,1.552023,-62.861111
86.7291032774,27.6880423744,9250,228,1,0.295090,1.551949,-63.215260
86.7291032774,27.6880423744,9250,228,1,0.295110,1.551873,-63.568199
86.7291032774,27.6880423744,9250,228,1,0.295121,1.551829,-63.769329
86.7291032774,27.6880423744,9250,228,1,0.295146,1.551738,-64.170387
86.7291032773,27.6880423744,9250,228,1,0.295168,1.551657,-64.520012
86.7291032773,27.6880423744,9250,228,1,0.295184,1.551597,-64.768951
86.7291032773,27.6880423744,9250,228,0,0.295203,1.551526,-65.066841
86.7291032773,27.6880423744,9250,228,0,0.295216,1.551477,-65.264900
86.7291032773,27.6880423743,9250,228,0,0.295239,1.551391,-65.610466
86.7291032773,27.6880423743,9250,228,0,0.295265,1.551291,-66.003761
86.7291032772,27.6880423743,9250,228,0,0.295283,1.551227,-66.248695
86.7291032772,27.6880423743,9250,228,0,0.295296,1.551175,-66.444130
86.7291032772,27.6880423743,9250,228,0,0.295320,1.551082,-66.785080
86.7291032772,27.6880423743,9250,228,0,0.295348,1.550973,-67.173027
86.7291032772,27.6880423743,9250,228,0,0.295364,1.550903,-67.414581
86.7291032772,27.6880423743,9250,228,0,0.295377,1.550845,-67.607285
86.7291032771,27.6880423743,9250,228,0,0.295399,1.550743,-67.943428
86.7291032771,27.6880423743,9250,228,0,0.295418,1.550653,-68.230400
86.7291032771,27.6880423743,9250,228,0,0.295439,1.550545,-68.563850
86.7291032771,27.6880423742,9250,228,0,0.295452,1.550483,-68.753731
86.7291032771,27.6880423742,9250,228,0,0.295472,1.550387,-69.037666
86.7291032770,27.6880423742,9250,228,0,0.295496,1.550272,-69.367546
86.7291032770,27.6880423742,9250,228,0,0.295522,1.550155,-69.695923
86.7291032770,27.6880423742,9250,228,0,0.295533,1.550104,-69.836197
86.7291032770,27.6880423742,9250,228,0,0.295574,1.549929,-70.301773
86.7291032770,27.6880423742,9250,228,0,0.295591,1.549857,-70.487122
86.7291032769,27.6880423742,9250,228,0,0.295617,1.549746,-70.764198
86.7291032769,27.6880423742,9250,228,0,0.295648,1.549612,-71.086029
86.7291032769,27.6880423741,9250,228,0,0.295677,1.549470,-71.406281
86.7291032769,27.6880423741,9250,228,0,0.295690,1.549408,-71.543060
86.7291032768,27.6880423741,9250,228,0,0.295720,1.549257,-71.861076
86.7291032768,27.6880423741,9250,228,0,0.295749,1.549099,-72.177528
86.7291032768,27.6880423741,9250,228,0,0.295780,1.548935,-72.492416
86.7291032767,27.6880423741,9250,228,0,0.295797,1.548839,-72.671623
86.7291032767,27.6880423740,9250,228,0,0.295827,1.548665,-72.983986
86.7291032767,27.6880423740,9250,228,0,0.295852,1.548511,-73.250488
86.7291032766,27.6880423740,9250,228,0,0.295869,1.548406,-73.427490
86.7291032766,27.6880423740,9250,228,0,0.295900,1.548221,-73.736000
86.7291032766,27.6880423740,9250,228,0,0.295931,1.548033,-74.042908
86.7291032765,27.6880423740,9250,228,0,0.295962,1.547845,-74.348221
86.7291032765,27.6880423739,9250,228,0,0.295986,1.547711,-74.565292
86.7291032765,27.6880423739,9250,228,0,0.296010,1.547576,-74.781525
86.7291032764,27.6880423739,9250,228,0,0.296048,1.547357,-75.125725
86.7291032764,27.6880423739,9250,228,0,0.296074,1.547219,-75.339760
86.7291032764,27.6880423739,9250,228,0,0.296094,1.547106,-75.510368
86.7291032763,27.6880423738,9250,228,0,0.296132,1.546905,-75.807617
86.7291032763,27.6880423738,9250,228,0,0.296169,1.546697,-76.103203
86.7291032763,27.6880423738,9250,228,0,0.296208,1.546481,-76.397110
86.7291032762,27.6880423738,9250,228,0,0.296241,1.546291,-76.647720
86.7291032762,27.6880423738,9250,228,0,0.296268,1.546127,-76.855598
86.7291032761,27.6880423737,9250,228,0,0.296296,1.545959,-77.062637
86.7291032761,27.6880423737,9250,228,0,0.296335,1.545714,-77.351036
86.7291032760,27.6880423737,9250,228,0,0.296374,1.545459,-77.637749
86.7291032760,27.6880423737,9250,228,0,0.296402,1.545270,-77.841492
86.7291032760,27.6880423736,9250,228,0,0.296437,1.545035,-77.971977
86.7291032759,27.6880423736,9250,228,0,0.296475,1.544758,-77.972038
86.7291032759,27.6880423736,9250,228,0,0.296503,1.544529,-77.972267
86.7291032758,27.6880423735,9250,228,0,0.296517,1.544386,-77.972496
86.7291032758,27.6880423735,9250,228,0,0.296532,1.544157,-77.972969
86.7291032758,27.6880423735,9250,228,0,0.296535,1.544070,-77.973190
86.7291032757,27.6880423735,9250,228,0,0.296530,1.543825,-77.973969
86.7291032757,27.6880423735,9250,228,0,0.296525,1.543765,-77.974197
86.7291032757,27.6880423734,9250,228,0,0.296502,1.543625,-77.974800
86.7291032757,27.6880423734,9250,228,0,0.296490,1.543578,-77.975037
86.7291032757,27.6880423734,9250,228,0,0.296469,1.543517,-77.975380
86.7291032757,27.6880423734,9250,228,0,0.296461,1.543497,-77.975487
86.7291032757,27.6880423734,9250,228,0,0.296444,1.543459,-77.975723
86.7291032757,27.6880423734,9250,228,0,0.296435,1.543441,-77.975876
86.7291032757,27.6880423734,9250,228,0,0.296432,1.543434,-77.975998
86.7291032757,27.6880423734,9250,228,0,0.296432,1.543433,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296436,1.543438,-77.976128
86.7291032757,27.6880423734,9250,228,0,0.296443,1.543447,-77.976173
86.7291032757,27.6880423734,9250,228,0,0.296452,1.543460,-77.976204
86.7291032757,27.6880423734,9250,228,0,0.296456,1.543465,-77.976212
86.7291032757,27.6880423734,9250,228,0,0.296467,1.543481,-77.976219
86.7291032757,27.6880423734,9250,228,0,0.296475,1.543495,-77.976212
86.7291032757,27.6880423734,9250,228,0,0.296478,1.543502,-77.976204
86.7291032757,27.6880423734,9250,228,0,0.296480,1.543511,-77.976181
86.7291032757,27.6880423734,9250,228,0,0.296478,1.543520,-77.976151
86.7291032757,27.6880423734,9250,228,0,0.296474,1.543525,-77.976135
86.7291032757,27.6880423734,9250,228,0,0.296470,1.543529,-77.976128
86.7291032757,27.6880423734,9250,228,0,0.296466,1.543533,-77.976120
86.7291032757,27.6880423734,9250,228,0,0.296464,1.543535,-77.976112
86.7291032757,27.6880423734,9250,228,0,0.296461,1.543540,-77.976105
86.7291032757,27.6880423734,9250,228,0,0.296460,1.543543,-77.976097
86.7291032757,27.6880423734,9250,228,0,0.296460,1.543547,-77.976082
86.7291032757,27.6880423734,9250,228,0,0.296461,1.543549,-77.976074
86.7291032757,27.6880423734,9250,228,0,0.296462,1.543551,-77.976067
86.7291032757,27.6880423734,9250,228,0,0.296464,1.543552,-77.976059
86.7291032757,27.6880423734,9250,228,0,0.296466,1.543554,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296466,1.543554,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296468,1.543554,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296468,1.543554,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296467,1.543554,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296466,1.543555,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296464,1.543555,-77.976059
86.7291032757,27.6880423734,9250,228,0,0.296463,1.543556,-77.976059
86.7291032757,27.6880423734,9250,228,0,0.296463,1.543557,-77.976067
86.7291032757,27.6880423734,9250,228,0,0.296462,1.543558,-77.976059
86.7291032757,27.6880423734,9250,228,0,0.296461,1.543559,-77.976059
86.7291032757,27.6880423734,9250,228,0,0.296461,1.543560,-77.976059
86.7291032757,27.6880423734,9250,228,0,0.296461,1.543561,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296460,1.543561,-77.976036
86.7291032757,27.6880423734,9250,228,0,0.296460,1.543560,-77.976036
86.7291032757,27.6880423734,9250,228,0,0.296460,1.543560,-77.976036
86.7291032757,27.6880423734,9250,228,0,0.296460,1.543560,-77.976036
86.7291032757,27.6880423734,9250,228,0,0.296461,1.543560,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296461,1.543560,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296461,1.543560,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296461,1.543560,-77.976036
86.7291032757,27.6880423734,9250,228,0,0.296461,1.543559,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296461,1.543559,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296461,1.543560,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296461,1.543560,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296460,1.543560,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296460,1.543561,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296460,1.543561,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296460,1.543561,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296459,1.543561,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296459,1.543561,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296459,1.543561,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296459,1.543561,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296459,1.543561,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296459,1.543561,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296459,1.543561,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296459,1.543561,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296459,1.543562,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296459,1.543562,-77.976036
86.7291032757,27.6880423734,9250,228,0,0.296458,1.543561,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296458,1.543561,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296458,1.543562,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296458,1.543562,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296458,1.543562,-77.976036
86.7291032757,27.6880423734,9250,228,0,0.296458,1.543562,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296457,1.543562,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296457,1.543562,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296457,1.543563,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296457,1.543563,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296457,1.543562,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296457,1.543562,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296457,1.543563,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296457,1.543563,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296456,1.543563,-77.976036
86.7291032757,27.6880423734,9250,228,0,0.296456,1.543563,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296456,1.543563,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296456,1.543563,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296456,1.543564,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296456,1.543563,-77.976036
86.7291032757,27.6880423734,9250,228,0,0.296456,1.543563,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296456,1.543563,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296456,1.543564,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296455,1.543564,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296455,1.543564,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296455,1.543564,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296455,1.543564,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296455,1.543564,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296455,1.543564,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296454,1.543564,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296454,1.543564,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296454,1.543565,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296454,1.543565,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296454,1.543564,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296454,1.543564,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296454,1.543565,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296454,1.543565,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296454,1.543565,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296453,1.543565,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296453,1.543565,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296453,1.543565,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296453,1.543566,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296453,1.543565,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296453,1.543565,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296453,1.543566,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296453,1.543566,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296452,1.543566,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296452,1.543566,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296452,1.543566,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296452,1.543566,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296452,1.543566,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296452,1.543566,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296452,1.543566,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296451,1.543567,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296451,1.543567,-77.976044
86.7291032757,27.6880423734,9250,228,0,0.296451,1.543566,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296451,1.543567,-77.976051
86.7291032757,27.6880423734,9250,228,0,0.296451,1.543567,-77.976044
